game_id,person_id,team_id,starter,seconds,points,fg2_made,fg2_attempted,fg3_made,fg3_attempted,ft_attempted,ft_made,offensive_reb,defensive_reb,assists,steals,blocks,turnovers,defensive_fouls,offensive_fouls
22401184,1627734,1610612758,true,2355.1,19,7,13,1,2,2,2,3,13,5,1,0,4,2,0
22401184,1631165,1610612758,true,1948.9999999999998,5,0,0,1,2,2,2,1,0,1,0,1,2,3,0
22401184,1626181,1610612746,true,2157.0000000000005,16,4,8,2,3,4,2,0,2,1,1,0,1,2,1
22401184,203897,1610612758,true,2454,26,5,11,4,12,4,4,0,4,5,0,0,1,3,0
22401183,203110,1610612744,true,1749,3,0,1,1,5,0,0,0,7,5,4,1,2,2,0
22401183,1642270,1610612757,true,1625,14,7,10,0,3,1,0,4,11,1,0,1,0,2,0
22401183,1641764,1610612744,true,1778,10,2,5,2,6,0,0,1,6,3,2,0,0,0,0
22401183,1641739,1610612757,true,1985,10,3,8,1,5,2,1,0,4,3,2,0,0,2,0
22401183,1630611,1610612744,false,324.99999999999994,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0
22401183,1630311,1610612744,false,192.00000000000003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22401183,1631218,1610612744,false,192.00000000000003,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
22401183,1631133,1610612757,false,1217.0000000000002,19,4,7,2,3,6,5,1,5,1,2,0,2,2,0
22401183,1628995,1610612744,false,192.00000000000003,2,1,1,0,1,0,0,0,0,0,0,0,2,0,0
22401183,1630296,1610612744,false,192.00000000000003,2,0,0,0,0,4,2,0,1,0,0,0,1,0,0
22401183,1630541,1610612744,true,1351,9,1,5,2,5,1,1,1,1,1,2,0,1,3,0
22401183,1626172,1610612744,false,936,1,0,0,0,0,2,1,1,4,1,0,2,0,3,0
22401183,1630228,1610612744,false,1014,10,2,5,0,2,8,6,1,4,0,1,1,1,1,0
22401183,1627741,1610612744,false,1357.1,16,2,4,4,10,0,0,1,3,0,0,1,0,2,0
22401183,1631200,1610612757,true,2173.0000000000005,7,2,5,0,3,4,3,2,4,4,1,1,2,4,0
22401183,1630625,1610612757,true,1830,3,1,7,0,5,1,1,0,4,6,0,1,7,0,1
22401183,1629680,1610612757,true,1325,11,1,1,2,5,4,3,1,3,0,3,2,2,1,0
22401183,1627780,1610612744,false,854.9,2,1,2,0,0,0,0,0,3,1,2,0,3,2,1
22401183,1631303,1610612757,false,921.9999999999999,4,2,4,0,0,0,0,0,0,0,1,0,1,1,1
22401183,1641712,1610612757,false,1479.0000000000002,15,5,9,1,3,2,2,2,0,1,0,0,2,2,1
22401183,202710,1610612744,true,1681,24,5,8,1,2,11,11,1,4,7,2,0,0,0,0
22401183,1642366,1610612744,false,934,10,1,2,2,5,2,2,0,1,1,0,1,0,1,0
22401183,1631321,1610612757,false,1473.0000000000002,3,1,3,0,2,2,1,2,6,5,0,0,6,3,0
22401183,1641871,1610612757,false,356,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0
22401183,201939,1610612744,true,1637,14,4,6,2,8,0,0,1,4,5,0,1,1,2,0
22401182,1630577,1610612759,true,1770,23,2,7,6,9,1,1,0,5,2,0,0,1,0,0
22401182,203078,1610612756,true,1697,21,3,4,5,9,0,0,0,4,6,0,0,0,1,0
22401182,1642346,1610612756,true,2029.9,26,6,10,4,11,2,2,5,6,1,1,0,0,0,0
22401182,1631103,1610612759,false,1353,15,4,13,2,4,2,1,0,2,2,1,0,1,3,0
22401182,1630572,1610612759,false,1509,19,7,10,1,5,2,2,2,7,2,1,0,1,0,0
22401182,1642345,1610612756,true,1970,6,3,8,0,0,0,0,1,4,2,1,4,2,1,0
22401182,1631104,1610612759,false,1830,7,3,8,0,0,3,1,0,3,4,0,0,2,1,0
22401182,1628960,1610612756,true,1724,15,2,3,3,6,2,2,1,5,6,1,0,1,0,0
22401182,203084,1610612759,true,871,2,1,2,0,1,0,0,0,5,1,0,0,0,0,0
22401182,1631127,1610612759,false,802.0000000000001,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0
22401182,202687,1610612759,true,1336,6,3,6,0,0,0,0,3,5,1,1,0,3,1,0
22401182,1642264,1610612759,true,1866,16,4,5,2,5,2,2,0,4,10,1,0,2,0,0
22401182,101108,1610612759,true,825,0,0,1,0,2,0,0,0,0,1,0,2,1,1,0
22401182,1630561,1610612759,false,716.0000000000001,8,1,2,2,4,0,0,0,1,1,1,0,1,0,0
22401182,1641779,1610612756,false,37.1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22401182,1631102,1610612756,false,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22401182,1626164,1610612756,true,1683,18,7,10,1,2,1,1,0,3,5,0,1,3,1,0
22401182,1627814,1610612756,false,190.99999999999997,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
22401182,203486,1610612756,false,902,7,2,2,0,0,4,3,3,3,1,2,2,1,2,0
22401182,1626220,1610612756,false,1284.9,2,1,2,0,4,0,0,0,3,0,0,1,0,2,0
22401182,1626145,1610612756,false,959,6,0,3,2,5,0,0,0,3,2,1,1,1,0,0
22401182,1629162,1610612759,false,1482,0,0,1,0,4,0,0,0,1,3,1,0,2,1,0
22401182,1631221,1610612756,false,1314,13,1,4,3,9,2,2,2,5,2,1,1,2,1,0
22401182,1628998,1610612756,false,531,0,0,2,0,0,0,0,0,3,1,1,0,1,1,0
22401181,1630695,1610612762,false,1897,3,1,1,0,7,2,1,3,7,0,1,1,1,2,0
22401181,1641745,1610612760,false,1641,17,2,4,4,9,2,1,0,6,4,1,0,1,1,0
22401181,1642505,1610612760,false,853,2,1,1,0,1,0,0,1,1,1,0,0,0,1,0
22401181,1629026,1610612760,true,1745.6,18,7,11,1,3,2,1,2,5,5,3,0,1,1,0
22401181,1641729,1610612762,true,2063,25,2,4,5,13,7,6,0,5,6,0,0,4,3,0
22401181,1629004,1610612762,false,1684,27,5,6,5,14,3,2,2,1,3,0,0,2,0,0
22401181,1642349,1610612760,false,1075,9,4,6,0,2,2,1,0,0,5,1,0,0,5,0
22401181,1630198,1610612760,true,2064,32,1,1,10,14,0,0,0,5,9,2,0,0,2,0
22401181,1630531,1610612762,true,1649.0000000000002,3,0,2,1,7,0,0,3,2,2,2,0,2,1,0
22401181,1642382,1610612760,false,1505.6,9,4,5,0,5,1,1,0,2,1,0,3,0,1,0
22401181,1631131,1610612762,false,1507,10,5,9,0,0,1,0,5,9,0,1,0,1,1,0
22401181,1641718,1610612762,true,1814,12,1,4,1,5,7,7,0,1,8,1,0,3,1,0
22401181,1642271,1610612762,true,1883,15,6,9,1,8,0,0,5,8,1,1,2,2,3,1
22401181,1630598,1610612760,true,2032.4,35,10,14,4,10,4,3,0,7,2,2,0,3,1,0
22401181,1641794,1610612760,true,1950,8,1,3,2,4,0,0,0,7,4,2,0,3,3,0
22401181,1630548,1610612762,true,1873,16,2,5,4,9,0,0,1,5,3,1,0,1,1,1
22401181,1631119,1610612760,true,1503.4,15,2,2,3,5,2,2,2,9,10,1,1,2,1,1
22401180,1628379,1610612763,false,1406.3999999999999,12,2,2,2,4,2,2,0,6,4,1,0,1,2,0
22401180,1628991,1610612763,true,2212.599999999999,18,6,10,2,7,0,0,0,1,2,0,2,0,4,0
22401180,201599,1610612743,false,428,2,1,1,0,0,0,0,0,2,0,1,0,0,1,0
22401180,1630205,1610612763,false,12.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22401180,1629008,1610612743,true,1769.1,7,2,6,0,2,4,3,3,9,0,0,0,1,2,0
